video_id,video_title,video_description,video_published_at,duration_iso8601,view_count,like_count,comment_count,thumbnail_default,thumbnail_medium,thumbnail_high,live_actual_start,live_actual_end,live_scheduled_start
ko70cExuzZM,Taylor Swift - The Fate of Ophelia (Official Music Video),"The official music video for “The Fate of Ophelia”

Stream/download ‘The Life of a Showgirl’: https://taylor.lnk.to/TSTheLifeofaShowgirl

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylor.lnk.to/store 
►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
 Instagram: http://instagram.com/taylornation 
YouTube: https://youtube.com/taylornation 
Twitter: http://twitter.com/taylornation13
 Tumblr: http://taylornation.tumblr.com

#TaylorSwift #TheLifeofaShowgirl #TheFateofOphelia",2025-10-05 23:00:06+00:00,PT3M59S,213712735,2586679,112664,https://i.ytimg.com/vi/ko70cExuzZM/default.jpg,https://i.ytimg.com/vi/ko70cExuzZM/mqdefault.jpg,https://i.ytimg.com/vi/ko70cExuzZM/hqdefault.jpg,2025-10-05 23:00:06+00:00,2025-10-05 23:06:33+00:00,2025-10-05 23:00:00+00:00
7X5iDKPrZH0,Taylor Swift - Elizabeth Taylor (Lyric Video),"“Elizabeth Taylor” by Taylor Swift, from The Life of a Showgirl. 

Stream/download ‘The Life of a Showgirl’: https://taylor.lnk.to/TSTheLifeofaShowgirlYD

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com

#TaylorSwift #TheLifeofaShowgirl #ElizabethTaylor",2025-10-05 23:06:06+00:00,PT3M32S,14336693,110690,3243,https://i.ytimg.com/vi/7X5iDKPrZH0/default.jpg,https://i.ytimg.com/vi/7X5iDKPrZH0/mqdefault.jpg,https://i.ytimg.com/vi/7X5iDKPrZH0/hqdefault.jpg,2025-10-05 23:06:06+00:00,2025-10-05 23:11:03+00:00,2025-10-05 23:06:00+00:00
3PJC6uPIekc,Taylor Swift - Opalite (Lyric Video),"“Opalite” by Taylor Swift, from The Life of a Showgirl. 

Stream/download ‘The Life of a Showgirl’: https://taylor.lnk.to/TSTheLifeofaShowgirlYD

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com

#TaylorSwift #TheLifeofaShowgirl #Opalite",2025-10-05 23:10:06+00:00,PT3M59S,32408149,217310,5456,https://i.ytimg.com/vi/3PJC6uPIekc/default.jpg,https://i.ytimg.com/vi/3PJC6uPIekc/mqdefault.jpg,https://i.ytimg.com/vi/3PJC6uPIekc/hqdefault.jpg,2025-10-05 23:10:06+00:00,2025-10-05 23:15:32+00:00,2025-10-05 23:10:00+00:00
98SmlWOKuME,Taylor Swift - Father Figure (Lyric Video),"“Father Figure” by Taylor Swift, from The Life of a Showgirl. 

Stream/download ‘The Life of a Showgirl’: https://taylor.lnk.to/TSTheLifeofaShowgirlYD

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com

#TaylorSwift #TheLifeofaShowgirl #FatherFigure",2025-10-05 23:15:06+00:00,PT3M36S,13075415,76856,2805,https://i.ytimg.com/vi/98SmlWOKuME/default.jpg,https://i.ytimg.com/vi/98SmlWOKuME/mqdefault.jpg,https://i.ytimg.com/vi/98SmlWOKuME/hqdefault.jpg,2025-10-05 23:15:06+00:00,2025-10-05 23:20:02+00:00,2025-10-05 23:15:00+00:00
HwQnW_ZRKhc,Taylor Swift - Eldest Daughter (Lyric Video),"“Eldest Daughter” by Taylor Swift, from The Life of a Showgirl. 

Stream/download ‘The Life of a Showgirl’: https://taylor.lnk.to/TSTheLifeofaShowgirlYD

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com

#TaylorSwift #TheLifeofaShowgirl #EldestDaughter",2025-10-05 23:19:06+00:00,PT4M10S,8139662,77639,2503,https://i.ytimg.com/vi/HwQnW_ZRKhc/default.jpg,https://i.ytimg.com/vi/HwQnW_ZRKhc/mqdefault.jpg,https://i.ytimg.com/vi/HwQnW_ZRKhc/hqdefault.jpg,2025-10-05 23:19:06+00:00,2025-10-05 23:24:33+00:00,2025-10-05 23:19:00+00:00
WQCPl5rTMDQ,Taylor Swift - Ruin The Friendship (Lyric Video),"“Ruin The Friendship” lyric video by Taylor Swift, from The Life of a Showgirl. 

Stream/download ‘The Life of a Showgirl’: https://taylor.lnk.to/TSTheLifeofaShowgirlYD

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com

#TaylorSwift #TheLifeofaShowgirl #RuinTheFriendship",2025-10-05 23:24:06+00:00,PT3M45S,7892961,64407,2320,https://i.ytimg.com/vi/WQCPl5rTMDQ/default.jpg,https://i.ytimg.com/vi/WQCPl5rTMDQ/mqdefault.jpg,https://i.ytimg.com/vi/WQCPl5rTMDQ/hqdefault.jpg,2025-10-05 23:24:06+00:00,2025-10-05 23:29:07+00:00,2025-10-05 23:24:00+00:00
FnEg1RgmqO4,Taylor Swift - Actually Romantic (Lyric Video),"“Actually Romantic” by Taylor Swift, from The Life of a Showgirl. 

Stream/download ‘The Life of a Showgirl’: https://taylor.lnk.to/TSTheLifeofaShowgirlYD

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com

#TaylorSwift #TheLifeofaShowgirl #ActuallyRomantic",2025-10-05 23:29:06+00:00,PT2M49S,8451747,58485,2991,https://i.ytimg.com/vi/FnEg1RgmqO4/default.jpg,https://i.ytimg.com/vi/FnEg1RgmqO4/mqdefault.jpg,https://i.ytimg.com/vi/FnEg1RgmqO4/hqdefault.jpg,2025-10-05 23:29:06+00:00,2025-10-05 23:32:57+00:00,2025-10-05 23:29:00+00:00
wqgUzLHgNMI,Taylor Swift - Wi$h Li$t (Lyric Video),"“Wi$h Li$t” lyric video by Taylor Swift, from The Life of a Showgirl. 

Stream/download ‘The Life of a Showgirl’: https://taylor.lnk.to/TSTheLifeofaShowgirlYD

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online:
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com

#TaylorSwift #TheLifeofaShowgirl",2025-10-05 23:33:06+00:00,PT3M32S,10884259,80772,3184,https://i.ytimg.com/vi/wqgUzLHgNMI/default.jpg,https://i.ytimg.com/vi/wqgUzLHgNMI/mqdefault.jpg,https://i.ytimg.com/vi/wqgUzLHgNMI/hqdefault.jpg,2025-10-05 23:33:06+00:00,2025-10-05 23:38:07+00:00,2025-10-05 23:33:00+00:00
6m50keINEOI,Taylor Swift - Wood (Lyric Video),"“Wood” lyric video by Taylor Swift, from The Life of a Showgirl. 

Stream/download ‘The Life of a Showgirl’: https://taylor.lnk.to/TSTheLifeofaShowgirlYD

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com

#TaylorSwift #TheLifeofaShowgirl #Wood",2025-10-05 23:37:06+00:00,PT2M35S,10651434,68068,3906,https://i.ytimg.com/vi/6m50keINEOI/default.jpg,https://i.ytimg.com/vi/6m50keINEOI/mqdefault.jpg,https://i.ytimg.com/vi/6m50keINEOI/hqdefault.jpg,2025-10-05 23:37:06+00:00,2025-10-05 23:41:07+00:00,2025-10-05 23:37:00+00:00
F-5XoUZ42Tc,Taylor Swift - CANCELLED! (Lyric Video),"“CANCELLED!” lyric video by Taylor Swift, from The Life of a Showgirl. 

Stream/download ‘The Life of a Showgirl’: https://taylor.lnk.to/TSTheLifeofaShowgirlYD

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com

#TaylorSwift #TheLifeofaShowgirl",2025-10-05 23:40:06+00:00,PT3M36S,8808393,72209,4008,https://i.ytimg.com/vi/F-5XoUZ42Tc/default.jpg,https://i.ytimg.com/vi/F-5XoUZ42Tc/mqdefault.jpg,https://i.ytimg.com/vi/F-5XoUZ42Tc/hqdefault.jpg,2025-10-05 23:40:06+00:00,2025-10-05 23:45:02+00:00,2025-10-05 23:40:00+00:00
